"PR"	"URL"	"Title"	"Content type"	"Is rendered page"	"HTTP status code"	"Organic traffic"	"Is indexable page"	"Hreflang links"	"Hreflang links codes"	"Hreflang issues"	"Hreflang group ID"	"No. of hreflang inlinks"	"No. of all inlinks"
"51"	"https://www.spotcircuit.com/local-marketing"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/local-marketing"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"3"
"40"	"https://www.spotcircuit.com/contact"	"Get in Touch | SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/contact"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"88"
"39"	"https://www.spotcircuit.com/resources/ai-marketing-tools"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/resources/ai-marketing-tools"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"83"
"39"	"https://www.spotcircuit.com/resources/local-seo-guide"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/resources/local-seo-guide"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"83"
"39"	"https://www.spotcircuit.com/api-docs"	"API Docs | SpotCircuit"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/api-docs"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"83"
"39"	"https://www.spotcircuit.com/resources/technical-seo-checklist"	"Technical SEO Audit Checklist | SpotCircuit"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/resources/technical-seo-checklist"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"83"
"39"	"https://www.spotcircuit.com/resources/ai-search-optimization"	"How to Optimize Your Website for AI Search Engines | SpotCircuit
AI SEO Services | SpotCircuit
AI-Optimized Product Page
Advanced Keyword Research for Content Optimization"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/resources/ai-search-optimization"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"83"
"39"	"https://www.spotcircuit.com/blog"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/blog"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"86"
"39"	"https://www.spotcircuit.com/industries/legal"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/industries/legal"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"83"
"39"	"https://www.spotcircuit.com/resources/content-strategy-blueprint"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/resources/content-strategy-blueprint"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"83"
"39"	"https://www.spotcircuit.com/booking"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/booking"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"83"
"39"	"https://www.spotcircuit.com/solutions/analyticscircuit"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/solutions/analyticscircuit"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"83"
"39"	"https://www.spotcircuit.com/solutions/clientcircuit"	"ClientCircuit - AI-Powered Client Management | SpotCircuit"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/solutions/clientcircuit"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"83"
"39"	"https://www.spotcircuit.com/industries/contracting"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/industries/contracting"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"83"
"39"	"https://www.spotcircuit.com/industries/medical"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/industries/medical"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"83"
"39"	"https://www.spotcircuit.com/resources/analytics-conversion-guide"	"Analytics & Conversion Guide | SpotCircuit"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/resources/analytics-conversion-guide"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"83"
"38"	"https://www.spotcircuit.com/industries/hvac"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/industries/hvac"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
"38"	"https://www.spotcircuit.com/resources/downloads/local-seo-checklist"	"Local SEO Checklist (Download) | SpotCircuit"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/resources/downloads/local-seo-checklist"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
"38"	"https://www.spotcircuit.com/accessibility"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/accessibility"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
"38"	"https://www.spotcircuit.com/launch"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/launch"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
"38"	"https://www.spotcircuit.com/sitemap-visual"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/sitemap-visual"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
"38"	"https://www.spotcircuit.com/terms"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/terms"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
"38"	"https://www.spotcircuit.com/process"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/process"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
"38"	"https://www.spotcircuit.com/industries/electrical"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/industries/electrical"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
"38"	"https://www.spotcircuit.com/industries/plumbing"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/industries/plumbing"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
"38"	"https://www.spotcircuit.com/solutions/contentcircuit"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/solutions/contentcircuit"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
"38"	"https://www.spotcircuit.com/case-studies"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/case-studies"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
"38"	"https://www.spotcircuit.com/answercircuit"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/answercircuit"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
"38"	"https://www.spotcircuit.com/tools"	"Marketing Tools | SpotCircuit"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/tools"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
"38"	"https://www.spotcircuit.com/industries/recruiting"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/industries/recruiting"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
"38"	"https://www.spotcircuit.com/webinars"	"Webinars | SpotCircuit"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/webinars"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
"38"	"https://www.spotcircuit.com/industries/roofing"	"SpotCircuit - AI-Powered Local SEO & Marketing"	"text/html; charset=utf-8"	"true"	"200"	"0"	"true"	"https://www.spotcircuit.com/industries/roofing"	""	"Missing self-referencing link
Missing x-default
Some pages are not returning 200 status code"	"764467706759697053"	"0"	"82"
